Days,Months,Years,FirstThree,LastThree,LastTwo
16,11,2013,69,672,28
16,11,2013,304,753,28
1,12,2013,74,766,27
1,12,2013,734,980,27
16,12,2013,111,742,79
16,12,2013,228,826,79
30,12,2013,275,513,48
30,12,2013,503,750,48
16,1,2014,77,242,52
16,1,2014,149,510,52
1,2,2014,406,888,95
1,2,2014,492,976,95
16,2,2014,74,521,1
16,2,2014,397,530,1
1,3,2014,116,753,35
1,3,2014,537,798,35
16,3,2014,250,400,79
16,3,2014,305,904,79
1,4,2014,186,835,95
1,4,2014,499,938,95
16,4,2014,13,355,26
16,4,2014,344,634,26
2,5,2014,143,673,52
2,5,2014,158,797,52
16,5,2014,112,246,20
16,5,2014,150,505,20
1,6,2014,160,409,18
1,6,2014,324,636,18
16,6,2014,140,576,95
16,6,2014,158,639,95
1,7,2014,123,441,39
1,7,2014,271,864,39
10,7,2014,104,205,45
10,7,2014,117,944,45
1,8,2014,349,623,82
1,8,2014,576,637,82
16,8,2014,187,639,91
16,8,2014,633,912,91
1,9,2014,308,490,22
1,9,2014,477,912,22
16,9,2014,112,342,35
16,9,2014,257,790,35
1,10,2014,86,251,44
1,10,2014,159,520,44
16,10,2014,647,848,94
16,10,2014,784,910,94
1,11,2014,203,855,44
1,11,2014,607,979,44
16,11,2014,179,480,25
16,11,2014,422,709,25
1,12,2014,161,580,11
1,12,2014,380,820,11
16,12,2014,80,775,90
16,12,2014,763,901,90
30,12,2014,535,950,57
30,12,2014,853,982,57
16,1,2015,68,595,74
16,1,2015,398,877,74
1,2,2015,8,286,79
1,2,2015,83,813,79
16,2,2015,103,825,90
16,2,2015,392,843,90
1,3,2015,8,498,34
1,3,2015,31,857,34
16,3,2015,339,623,92
16,3,2015,622,757,92
1,4,2015,557,861,70
1,4,2015,558,962,70
16,4,2015,101,495,38
16,4,2015,164,973,38
2,5,2015,163,366,30
2,5,2015,195,818,30
16,5,2015,484,851,38
16,5,2015,799,928,38
2,6,2015,314,876,65
2,6,2015,700,969,65
16,6,2015,253,429,5
16,6,2015,386,532,5
1,7,2015,81,567,26
1,7,2015,565,814,26
16,7,2015,294,761,49
16,7,2015,461,830,49
1,8,2015,333,648,53
1,8,2015,598,889,53
16,8,2015,227,648,40
16,8,2015,624,781,40
1,9,2015,68,403,89
1,9,2015,260,819,89
16,9,2015,84,375,6
16,9,2015,209,435,6
1,10,2015,175,799,7
1,10,2015,440,918,7
16,10,2015,54,412,62
16,10,2015,134,457,62
1,11,2015,106,473,45
1,11,2015,166,757,45
16,11,2015,28,643,3
16,11,2015,241,802,3
1,12,2015,175,238,78
1,12,2015,181,714,78
17,12,2015,94,250,8
17,12,2015,140,638,8
30,12,2015,246,596,2
30,12,2015,264,895,2
17,1,2016,31,743,50
17,1,2016,532,786,50
1,2,2016,54,625,9
1,2,2016,76,999,9
16,2,2016,309,535,98
16,2,2016,312,699,98
1,3,2016,155,530,6
1,3,2016,426,743,6
16,3,2016,4,877,32
16,3,2016,855,973,32
1,4,2016,285,546,92
1,4,2016,390,852,92
16,4,2016,8,507,87
16,4,2016,228,523,87
2,5,2016,46,403,2
2,5,2016,238,671,2
16,5,2016,87,382,98
16,5,2016,268,975,98
1,6,2016,111,880,14
1,6,2016,775,937,14
16,6,2016,251,749,79
16,6,2016,321,804,79
1,7,2016,169,302,53
1,7,2016,173,609,53
16,7,2016,158,734,55
16,7,2016,552,925,55
1,8,2016,472,871,57
1,8,2016,538,983,57
16,8,2016,366,631,33
16,8,2016,596,966,33
1,9,2016,334,630,62
1,9,2016,335,669,62
16,9,2016,43,493,42
16,9,2016,160,583,42
1,10,2016,17,280,33
1,10,2016,194,458,33
16,10,2016,32,692,98
16,10,2016,587,885,98
1,11,2016,38,824,86
1,11,2016,752,976,86
16,11,2016,40,570,44
16,11,2016,558,682,44
1,12,2016,148,513,77
1,12,2016,450,873,77
16,12,2016,199,596,35
16,12,2016,366,716,35
30,12,2016,304,769,46
30,12,2016,477,890,46
17,1,2017,511,663,25
17,1,2017,516,836,25
1,2,2017,66,628,42
1,2,2017,426,807,42
16,2,2017,128,464,14
16,2,2017,375,953,14
1,3,2017,52,560,78
1,3,2017,450,577,78
16,3,2017,324,918,92
16,3,2017,694,941,92
1,4,2017,20,500,80
1,4,2017,57,709,80
16,4,2017,241,807,40
16,4,2017,766,973,40
2,5,2017,573,923,35
2,5,2017,773,949,35
16,5,2017,8,490,53
16,5,2017,396,603,53
1,6,2017,121,581,61
1,6,2017,218,881,61
16,6,2017,373,740,47
16,6,2017,626,878,47
1,7,2017,5,489,26
1,7,2017,226,688,26
16,7,2017,390,823,87
16,7,2017,584,835,87
1,8,2017,61,787,36
1,8,2017,386,989,36
16,8,2017,115,302,37
16,8,2017,253,945,37
1,9,2017,195,345,65
1,9,2017,278,679,65
16,9,2017,172,388,71
16,9,2017,340,647,71
1,10,2017,462,726,52
1,10,2017,611,952,52
16,10,2017,128,287,86
16,10,2017,180,971,86
1,11,2017,36,425,85
1,11,2017,165,485,85
16,11,2017,477,831,98
16,11,2017,628,961,98
1,12,2017,257,601,33
1,12,2017,303,626,33
16,12,2017,290,836,89
16,12,2017,616,938,89
30,12,2017,373,504,98
30,12,2017,495,953,98
17,1,2018,236,624,50
17,1,2018,397,799,50
1,2,2018,106,519,31
1,2,2018,181,947,31
16,2,2018,7,388,39
16,2,2018,230,748,39
2,3,2018,318,723,29
2,3,2018,589,870,29
16,3,2018,64,489,82
16,3,2018,205,720,82
1,4,2018,131,787,85
1,4,2018,638,924,85
16,4,2018,76,526,60
16,4,2018,273,654,60
2,5,2018,225,602,85
2,5,2018,527,980,85
16,5,2018,47,357,20
16,5,2018,130,506,20
1,6,2018,248,553,95
1,6,2018,310,650,95
16,6,2018,132,507,46
16,6,2018,432,868,46
1,7,2018,210,429,83
1,7,2018,217,901,83
16,7,2018,138,403,27
16,7,2018,362,530,27
1,8,2018,549,832,78
1,8,2018,726,903,78
16,8,2018,340,670,10
16,8,2018,591,815,10
1,9,2018,97,464,26
1,9,2018,202,512,26
16,9,2018,155,323,79
16,9,2018,297,539,79
1,10,2018,561,726,99
1,10,2018,594,810,99
16,10,2018,186,212,93
16,10,2018,192,392,93
1,11,2018,46,509,58
1,11,2018,384,576,58
